이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
요거트아이스크림의정석 건대점, 서울 광진구 화양동 16-43
제니스카페, 서울 구로구 고척동 60-34
차차커피코, 서울 마포구 상수동 330-15
낙랑파라, 서울 마포구 동교동 148-3
편강도원 양재점, 서울 서초구 양재동 122-6
얼라이브, 서울 송파구 잠실동 192-8
카페위드디 창동점, 서울 도봉구 창동 443-6
앳모스피어, 서울 성동구 성수동2가 277-114
비에스티카페 동대문점, 서울 중구 광희동2가 17
여니커피, 서울 영등포구 대림동 739-1
애견카페24, 서울 강남구 논현동 194-3
상상의문 홍대점, 서울 마포구 서교동 358-1
메종드아베크엘, 서울 종로구 동숭동 5-7
키쉬미뇽 신사역점, 서울 강남구 논현동 279
찰스커피컴퍼니, 서울 은평구 응암동 427-108
원옥, 서울 마포구 연남동 509-2
피플스카페 충무로본점, 서울 중구 필동2가 30
오픈앨리, 서울 성북구 안암동5가 50-1
선과점, 서울 은평구 역촌동 191-2
달콤쌉싸레, 서울 송파구 삼전동 103
투썸플레이스 강남구청역점, 서울 강남구 논현동 118-15
레이즈드베드, 서울 마포구 서교동 395-199
카페트위드, 서울 영등포구 신길동 4950
엠디에프커피바, 서울 서초구 반포동 18-3
카페아트엔, 서울 강남구 신사동 620-6
카페넘버스, 서울 강남구 개포동 1190-6
제이엠커피 신사라운지, 서울 강남구 신사동 515-6
카페인중독 금천점, 서울 금천구 독산동 1058-48
카페쉼, 서울 광진구 화양동 21-20
해피니스디저트 건대점, 서울 광진구 자양동 6-58
스타벅스 아현역점, 서울 서대문구 북아현동 1015
블레이즈, 서울 강동구 성내동 379-14
게이샤커피, 서울 종로구 관훈동 192-15
조커스, 서울 은평구 대조동 179-1
카페펀코, 서울 양천구 신정동 1267
커피나루, 서울 서대문구 연희동 353-94
타우너스 을지로점, 서울 중구 을지로1가 87
컴포즈커피 장안중앙점, 서울 동대문구 장안동 373
