이코복스커피스튜디오 서여의도점, 서울 영등포구 여의도동 13-25
로뎀마카롱, 서울 동작구 흑석동 8-30
크로닉, 서울 영등포구 당산동4가 37-7
오월의이유, 서울 서대문구 남가좌동 325-43
애프터워크클럽, 서울 영등포구 문래동2가 14-37
차향이가득한정원, 서울 종로구 수송동 58
그릿시냇가, 서울 강서구 화곡동 29-177
카페&펍연무장 동대문점, 서울 중구 을지로6가 21-31
친밀한, 서울 송파구 풍납동 271-4
카페 우드진 마곡나루점, 서울 강서구 마곡동 365-15
도통사주카페, 서울 중구 명동2가 53-18
구반포커피, 서울 서초구 반포동 885
재주문, 서울 양천구 신정동 1011-5
2cafe, 서울 송파구 풍납동 407-8
사과나무, 서울 종로구 창신동 538-1
라파리나베이글, 서울 성동구 금호동2가 1193
뷰페어카페, 서울 광진구 자양동 855
썸타로사주 신촌본점, 서울 서대문구 창천동 33-46
테이크어샷, 서울 강동구 성내동 435-42
여기, 서울 성북구 길음동 1064-1
서울바나나, 서울 성동구 성수동1가 668-20
톡톡, 서울 동대문구 청량리동 235-1
호감, 서울 송파구 가락동 174-23
데이롱카페 강남역삼점, 서울 강남구 역삼동 792-5
브라운필투, 서울 동작구 상도동 477-16
카펫 용산점, 서울 용산구 한강로3가 65-193
더블루문, 서울 양천구 신정동 1021-6
커피베이 오목교역점, 서울 양천구 목동 406-30
성수장, 서울 성동구 성수동1가 656-893
더베스트커피, 서울 강서구 가양동 1458
이디야커피 솔밭공원역점, 서울 도봉구 쌍문동 507-61
커피앤, 서울 은평구 녹번동 117-141
긱, 서울 도봉구 창동 26
모애카페, 서울 용산구 효창동 5-477
차얌 군자역점, 서울 광진구 능동 279-2
이루커피, 서울 서대문구 홍은동 412-3
플로레스테이블, 서울 노원구 상계동 1305
팃빗, 서울 관악구 봉천동 1613-5
슈퍼히어로, 서울 용산구 이태원동 112-2
제이콥, 서울 송파구 신천동 7-18
오고, 서울 광진구 광장동 285-7
누아젯, 서울 관악구 봉천동 1675-15
텅플래닛 롯데월드타워몰점, 서울 송파구 신천동 29
커피베이 노원상계점, 서울 노원구 상계동 1141-12
프리그, 서울 구로구 구로동 166-25
도화아파트먼트 마포, 서울 마포구 도화동 346-2
커피스니퍼, 서울 중구 북창동 11-3
지브릭커피 본점, 서울 은평구 진관동 138-22
부스트, 서울 서초구 양재동 23
빽다방 강남역태극당점, 서울 강남구 역삼동 826-37
카페샘, 서울 서대문구 연희동 519-75
헬로트랜서퍼, 서울 광진구 중곡동 341-3
공차 스타필드코엑스몰, 서울 강남구 삼성동 159
쥬씨 굽은다리역점, 서울 강동구 천호동 42
투썸플레이스 회현역점, 서울 중구 회현동1가 194-15
테라피, 서울 동작구 신대방동 719
토마토래빗, 서울 강남구 역삼동 647-5
카페르, 서울 송파구 가락동 913
레이첼티카페, 서울 서대문구 북아현동 1011
수채화플랜트카페, 서울 송파구 송파동 90-12
카우프로스터스, 서울 마포구 신수동 81-16
카페로니, 서울 동대문구 신설동 92-25
로다커피, 서울 영등포구 영등포동8가 34
쿠쿠스무스 여의도점, 서울 영등포구 여의도동 13-22
더부미, 서울 종로구 와룡동 131
커피쉬, 서울 강남구 역삼동 754-2
포도앤커피, 서울 마포구 합정동 394-15
릴리펏 현대시티아울렛 동대문점, 서울 중구 을지로6가 17-2
백억커피 수유점, 서울 강북구 번동 463-52
미카사카페이, 서울 구로구 구로동 26
이디야커피 신정네거리역점, 서울 양천구 신정동 972-4
커피하우스마이샤, 서울 마포구 합정동 433-61
소담소담, 서울 구로구 개봉동 332-22
이디야커피 염창동점, 서울 강서구 염창동 264-37
비치s커피집, 서울 양천구 신정동 1316
엘, 서울 강남구 신사동 551-1
씨씨아가든, 서울 강남구 신사동 631-25
이디야커피 신길썬프라자점, 서울 영등포구 신길동 4662
메가MGC커피 촬영소사거리점, 서울 동대문구 답십리동 2-146
이디야커피 서초역점, 서울 서초구 서초동 1510-2
금성다방, 서울 구로구 구로동 807-12
와이낫, 서울 강북구 수유동 134-67
쇼콜라팔레트 송리단길점, 서울 송파구 송파동 52-15
푸에르카페, 서울 동작구 상도동 156-40
피에니, 서울 동대문구 용두동 39-745
티라벤토, 서울 용산구 이태원동 96-72
양문카페, 서울 동작구 신대방동 607-28
휴, 서울 송파구 잠실동 27-6
케이스타, 서울 마포구 동교동 161-10
스카이래빗, 서울 마포구 동교동 163-20
공차 타임스퀘어점, 서울 영등포구 영등포동4가 442
서머셋팰리스호텔 라운지, 서울 종로구 수송동 85
블레싱하우스, 서울 송파구 장지동 880-1
청춘 라이브카페, 서울 종로구 당주동 167-1
파스쿠찌 트윈시티남산점, 서울 용산구 동자동 56
작은 다과점, 서울 은평구 갈현동 392-19
오아시스, 서울 중구 황학동 2545
진심을담다, 서울 영등포구 당산동2가 164
커피빈 이태원몬드리안호텔점, 서울 용산구 동빙고동 310-1
카페루앤비 마곡수명점, 서울 강서구 내발산동 754-2
더벤티 강남구청역점, 서울 강남구 논현동 111-31
카페더붕, 서울 강동구 성내동 176-1
커피온리 수서역점, 서울 강남구 수서동 713
낭만, 서울 광진구 중곡동 192-5
온더플랜커피랩, 서울 중구 필동2가 16-6
매머드익스프레스 수서목화점, 서울 강남구 수서동 725-1
바질리코, 서울 마포구 합정동 360-17
라칸티네카페, 서울 광진구 능동 282-2
바나프레소 선릉공원점, 서울 강남구 삼성동 142-46
카페청 수제청, 서울 은평구 대조동 77-10
나드리다방, 서울 노원구 상계동 387-50
패션스쿨, 서울 마포구 서교동 403-14
컴포즈커피 마곡리더스퀘어점, 서울 강서구 마곡동 772-5
커피츄, 서울 강남구 압구정동 429
통툰 강동천호점, 서울 강동구 천호동 550-5
페어리멜로스, 서울 강남구 삼성동 122
프리스키커피, 서울 강동구 성내동 110-3
카페비, 서울 영등포구 양평동2가 34-15
커피인류 고덕그라시움점, 서울 강동구 고덕동 217
스타벅스 마곡나루역점, 서울 강서구 마곡동 759-3
티아르, 서울 동대문구 제기동 286
로스커피, 서울 마포구 서교동 375-24
페아노커브, 서울 강남구 신사동 592-13
펠어커피초코 시청점, 서울 중구 서소문동 120-11
작은공간, 서울 서대문구 미근동 193
브루크, 서울 성동구 성수동2가 256-4
세련, 서울 송파구 송파동 50-8
앵글340, 서울 종로구 장사동 182-2
메가MGC커피 봉일시장점, 서울 관악구 봉천동 940-11
골드버튼커피, 서울 용산구 남영동 81-3
커피볶는김대리, 서울 마포구 연남동 570-36
카페 E to E, 서울 종로구 관수동 130-1
바나프레소 답십리역점, 서울 동대문구 답십리동 494-1
앤레커피, 서울 중구 수하동 66
큐, 서울 성북구 동선동2가 47
쥬씨 압구정2호점, 서울 강남구 신사동 614-7
메가MGC커피 답십리로데오점, 서울 성동구 용답동 14-4
서리풀노리학교 양재1동점, 서울 서초구 양재동 90-2
원데잇케이크, 서울 강서구 내발산동 715-11
테이블에이5, 서울 서대문구 대현동 56-141
커피랩, 서울 서대문구 홍은동 9-42
가비엔누리 코람코점, 서울 강남구 삼성동 144-17
해피퍼피하우스, 서울 용산구 이태원동 34-83
바나프레소 공덕역점, 서울 마포구 신공덕동 171
돌즈, 서울 마포구 동교동 113-29
돌체도노, 서울 서초구 반포동 105-9
은마커피, 서울 강남구 대치동 316
룸카페 바니, 서울 강남구 역삼동 818-1
카페비, 서울 중랑구 면목동 354-1
더미쓰리, 서울 용산구 이태원동 549
이디야커피 원효로점, 서울 용산구 원효로1가 39-13
티랩차연구소, 서울 강남구 역삼동 642-20
502세컨즈카페 노원점, 서울 노원구 하계동 270
엘림샐러드카페, 서울 서대문구 창천동 49-1
어반펫츠, 서울 용산구 한강로3가 40-134
카페카누, 서울 영등포구 양평동1가 222-1
사이사이, 서울 성북구 정릉동 181-19
블루터틀, 서울 구로구 고척동 60-34
허니지카페, 서울 광진구 자양동 7-9
퍼플마녀, 서울 서초구 서초동 1624-3
어니스트팬케이크, 서울 마포구 연남동 390-64
두두리팡, 서울 마포구 망원동 57-375
오르소 에스프레소바, 서울 용산구 후암동 129
석란커피앤티, 서울 용산구 한남동 72-1
코너스톤, 서울 강남구 일원동 677-4
한국은행본점 카페, 서울 중구 남대문로3가 110
더스크, 서울 강남구 신사동 570-1
요거트아이스크림의정석 성산점, 서울 마포구 성산동 200-12
리웨이, 서울 영등포구 영등포동8가 72
카페홍제천, 서울 서대문구 홍제동 287-140
카페카운티 홍대점, 서울 마포구 서교동 463-15
카페밸류, 서울 서초구 양재동 317-9
헤이븐, 서울 종로구 창성동 153-1
스타벅스 충정로역점, 서울 서대문구 충정로3가 470
커피빈 KB국민은행노원역점, 서울 노원구 상계동 731-5
더수다카페 엘스점, 서울 송파구 잠실동 19-9
커피에반하다 강변역점, 서울 광진구 구의동 631-1
유어마이커피브루어스, 서울 서초구 양재동 69-5
라운지1971 용산점, 서울 용산구 용산동3가 1
투썸플레이스 용답역점, 서울 성동구 용답동 40-9
부암커피, 서울 종로구 부암동 185-35
극동차가, 서울 송파구 신천동 7
우디집 도산점, 서울 강남구 신사동 644-22
이디야커피 박미삼거리점, 서울 금천구 시흥동 936-6
유월오일, 서울 서초구 방배동 793-12
메가MGC커피 중대후문점, 서울 동작구 상도동 7-60
시스 대치본점, 서울 강남구 대치동 945-20
인바이트, 서울 노원구 상계동 1119-51
비트커피 군자역점, 서울 광진구 중곡동 639-20
12st 카페, 서울 금천구 가산동 140-38
일미오카페, 서울 용산구 청파동3가 118-280
더벤티 중계은행사거리점, 서울 노원구 중계동 366-6
아리스타커피 역삼점, 서울 강남구 역삼동 646-6
꼰츄로, 서울 성북구 동소문동1가 42
8B돌체 신논현역점, 서울 강남구 역삼동 800
엘팡도넛카페, 서울 강남구 역삼동 711-6
숙다방, 서울 중구 충무로3가 33-1
혜화로456, 서울 종로구 명륜1가 31-4
에브리모먼트, 서울 중랑구 면목동 428-2
웰빙쌀효모, 서울 성동구 금호동4가 1550
카페더베네치아, 서울 송파구 장지동 880-1
알아, 서울 강서구 화곡동 997-1
리틀비틀, 서울 강북구 수유동 188-26
베르그 서울숲, 서울 성동구 성수동1가 668-42
호공간, 서울 강동구 암사동 451-6
더까페, 서울 서초구 서초동 1579-6
만화카페 현대백화점미아점, 서울 성북구 길음동 20-1
카페마당, 서울 마포구 구수동 96
J갤러리카페, 서울 용산구 이태원동 260-216
씨위드커피, 서울 동대문구 이문동 341-60
일심당, 서울 영등포구 대림동 706-1
24시셀프카페 도화점, 서울 마포구 도화동 82
카페아트, 서울 서초구 방배동 3278
타르트89 송파점, 서울 송파구 송파동 98-7
이디야커피 신촌숲아이파크점, 서울 마포구 신수동 462
에이그레이트카페 반포고투몰점, 서울 서초구 반포동 128-4
챗딜리셔스커피, 서울 광진구 자양동 578-7
포트오브모카 중화점, 서울 중랑구 중화동 307-1
스타벅스 타임스퀘어2F점, 서울 영등포구 영등포동4가 442
허니와, 서울 은평구 역촌동 44-6
정이정, 서울 성북구 종암동 10-101
공차 김포롯데몰점, 서울 강서구 방화동 886
카페후르츠 경복궁점, 서울 종로구 통의동 49-1
우지커피 길음롯데캐슬점, 서울 성북구 길음동 1287-1
메가MGC커피 고덕래미안점, 서울 강동구 고덕동 688
대흥커피, 서울 마포구 신수동 1-1
이디야커피 순천향병원점, 서울 용산구 한남동 633-3
카페 아뜰리에16, 서울 종로구 삼청동 62-16
카페트릴, 서울 송파구 잠실동 299-10
글라스커피, 서울 강남구 대치동 946-1
카페라임, 서울 강서구 화곡동 872-11
훅트포케 이대점, 서울 서대문구 대현동 56-51
카페꼬밍, 서울 성동구 행당동 1-56
빽다방 서울숲역점, 서울 성동구 성수동1가 656-565
드링크맨션, 서울 마포구 상암동 1466
플러터커피로스터스, 서울 용산구 한강로2가 83-4
컴포즈커피 광산사거리점, 서울 강북구 수유동 183-4
힘내커피, 서울 영등포구 당산동1가 77-3
대림동두리안, 서울 영등포구 대림동 1057-59
원트무인카페 상도점, 서울 동작구 상도동 477-2
아붕, 서울 송파구 잠실동 180
파인땡큐마카롱, 서울 양천구 목동 917
제이엘디저트바, 서울 용산구 한남동 657-115
투썸플레이스 묵동자이점, 서울 중랑구 묵동 170-1
쥬피토, 서울 구로구 구로동 3-25
메가MGC커피 신정교사거리점, 서울 양천구 신정동 128-105
메가MGC커피 명동아르누보센텀점, 서울 중구 을지로2가 199-40
스타벅스 경희대점, 서울 동대문구 회기동 16-41
히소히소(HisoHiso), 서울 강서구 마곡동 738
카페더블링, 서울 강남구 논현동 192-10
이디야커피 용문점, 서울 용산구 원효로2가 88-8
커피가루, 서울 성동구 도선동 43
현주까페, 서울 용산구 한강로2가 15-14
매머드익스프레스 창동점, 서울 도봉구 창동 7
레드닷커피, 서울 서초구 양재동 16-34
왕십리교회 로뎀카페, 서울 성동구 상왕십리동 816-4
이모티프커피바, 서울 성북구 삼선동4가 338
메가MGC커피 노량진점, 서울 동작구 노량진동 97-1
엔제리너스 김포공항역사점, 서울 강서구 방화동 886
카페보케, 서울 용산구 이태원동 260-135
24시무인카페온커피, 서울 구로구 구로동 41
온오프 연남, 서울 마포구 연남동 453-9
1847베이글카페 서울과학기술대학교점, 서울 노원구 하계동 78-1
카페시나브로, 서울 강북구 수유동 659-38
언더플로어, 서울 마포구 동교동 150-1
씨씨, 서울 성동구 행당동 286-13
따우전드, 서울 광진구 구의동 226-5
보라달, 서울 용산구 한강로2가 107-5
보사노바 커피로스터스 문래점, 서울 영등포구 문래동3가 82-13
코코부코 이대점, 서울 서대문구 대현동 110-20
투썸플레이스 압구정역점, 서울 강남구 신사동 579-1
이디야커피 상계역점, 서울 노원구 중계동 152-5
카페 카다로그, 서울 중구 을지로2가 101-2
롱브르378, 서울 용산구 한강로3가 65-168
이노커피, 서울 서대문구 북아현동 177-10
디저트카페제이, 서울 강동구 강일동 76-2
매머드커피 소공동점, 서울 중구 소공동 25
탐앤탐스 하계점, 서울 노원구 중계동 506-1
짜임팩토리, 서울 강남구 세곡동 372
르바자르 카페&바, 서울 마포구 서교동 328-7
플로디, 서울 마포구 합정동 473
새마을프로젝트, 서울 송파구 잠실동 205-23
알엑스디커피, 서울 송파구 석촌동 184-7
더비즈랩 한양사이버대점, 서울 성동구 행당동 17
오페라빈 에스프레소바 서초한전점, 서울 서초구 서초동 1344-26
연신내홀덤 리버, 서울 은평구 갈현동 405-1
카페프리헷 상계1단지점, 서울 노원구 상계동 767-5
그린로프트, 서울 강동구 고덕동 593
더코너샵, 서울 성북구 동선동3가 31
카페 익스큐즈미, 서울 동작구 대방동 399-7
클럽피쉬, 서울 영등포구 여의도동 11
시드누아 노원본점, 서울 노원구 상계동 341-5
프레셔나인 커피로스터스, 서울 광진구 중곡동 633-5
TSC, 서울 동대문구 답십리동 467-44
별콩다방, 서울 송파구 문정동 652
셜록홈즈 성신여대점, 서울 성북구 동선동1가 87
토마토텐, 서울 강남구 대치동 912-10
커넥츠커피 에스프레소바 역촌역점, 서울 은평구 녹번동 141-61
미니말레 뢰스터리&커피바, 서울 서초구 서초동 1571-14
나리당, 서울 동작구 사당동 224-51
피스오브딥, 서울 구로구 개봉동 288-17
산리오러버스클럽, 서울 마포구 서교동 364-14
매머드익스프레스 금천롯데타워점, 서울 금천구 독산동 1004-13
낙양커피, 서울 광진구 자양동 2-9
야시시, 서울 마포구 창전동 5-91
갤러리지아르체, 서울 강남구 역삼동 858
더벤티 서울중계초점, 서울 노원구 중계동 450
카페후엠아이, 서울 노원구 상계동 111-426
이디야커피 광운대점, 서울 노원구 월계동 465-10
온스커피 서초점, 서울 서초구 서초동 1440-1
제일은행본점구내, 서울 종로구 공평동 100
오텀, 서울 강동구 성내동 447-1
컴포즈커피 구일역점, 서울 구로구 구로동 650-4
메가MGC커피 청구역점, 서울 중구 신당동 340-73
더벤티 방이시장점, 서울 송파구 방이동 145-35
브레드05 성수점, 서울 성동구 성수동2가 277-135
커피온리 영등포구청역점, 서울 영등포구 당산동3가 215
카페만월경 강동점, 서울 강동구 성내동 271-4
로드빈, 서울 송파구 삼전동 22-19
남영출판사 타임스퀘어점, 서울 영등포구 영등포동4가 442
메가MGC커피 월곡점, 서울 성북구 하월곡동 77-221
아이비, 서울 종로구 부암동 260-13
하프잇댕, 서울 송파구 석촌동 226-5
가야커피숍, 서울 성북구 보문동4가 78-4
커피인류 대치은마점, 서울 강남구 대치동 316
로스티드바이 금천점, 서울 금천구 시흥동 121-1
카페마몽드, 서울 서초구 양재동 96-16
블럭고고, 서울 광진구 광장동 484
빈웍스, 서울 금천구 가산동 371-106
카페가배, 서울 금천구 가산동 60-5
무무앤베리스, 서울 강남구 논현동 37-18
공차 종암점, 서울 성북구 종암동 3-1237
해머스미스커피 선릉세웅타워소망점, 서울 강남구 삼성동 141
컴포즈커피 난곡우체국사거리점, 서울 관악구 신림동 1680-24
인파라다이스, 서울 관악구 봉천동 1573-23
다인카페, 서울 강동구 성내동 442-9
킹콩쥬스&커피 팔각당점, 서울 광진구 능동 18
버블&샷, 서울 관악구 신림동 1663
쥴스커피하우스, 서울 서초구 방배동 1022-1
투썸플레이스 마곡점, 서울 강서구 마곡동 727-1064
투썸플레이스 북서울꿈의숲점, 서울 강북구 번동 105-1
그릭데이 경희대점, 서울 동대문구 회기동 3-75
모이오, 서울 광진구 구의동 249-10
렌떼두타 사무동, 서울 중구 을지로6가 18-12
헤브어트리, 서울 용산구 갈월동 59-8
더빈, 서울 서대문구 대현동 37-7
프루데이, 서울 중랑구 면목동 193-31
주식회사 씨지지CGG Co.,Ltd., 서울 송파구 잠실동 176-2
투썸플레이스 삼성카드사옥점, 서울 중구 태평로2가 250
로그라운드, 서울 성동구 하왕십리동 258
베로아로스터리, 서울 송파구 오금동 48-8
투썸플레이스 송파거여역점, 서울 송파구 거여동 26-3
나나커피, 서울 중랑구 면목동 72-8
디저트미, 서울 강동구 상일동 215
호기심, 서울 중구 신당동 826-36
롯데호텔서울 로비라운지, 서울 중구 을지로1가 180-6
카페선사, 서울 강동구 암사동 496-28
카페 마일로스, 서울 중랑구 묵동 246-38
빵쌤 영등포점, 서울 영등포구 영등포동3가 10-5
메디스톤, 서울 마포구 망원동 424-29
금영커피, 서울 구로구 구로동 801-18
만돌다방, 서울 강동구 길동 123-3
이디야커피 장한평군자초교점, 서울 동대문구 장안동 408-13
카리타스, 서울 은평구 녹번동 153-16
모멘트커피, 서울 마포구 동교동 203-30
카페도반, 서울 은평구 신사동 26-18
치키차카초코 강동천호역점, 서울 강동구 천호동 456-7
카페781, 서울 강남구 논현동 78-1
메가MGC커피 당산생각공장점, 서울 영등포구 당산동1가 459
테누토, 서울 종로구 동숭동 16
콘체르토, 서울 동대문구 회기동 45-49
휴빈까페, 서울 중구 남창동 167-2
문커피, 서울 동작구 상도1동 428-5
커피미학, 서울 중구 소공동 1
칼리프하우스, 서울 강남구 신사동 647-17
띵크어바웃커피, 서울 서초구 잠원동 35-5
라면커피룸 송파, 서울 송파구 방이동 193-17
땡스오트 연남, 서울 마포구 연남동 375-113
커피빈 신용산역래미안점, 서울 용산구 한강로2가 422
무이커피, 서울 영등포구 양평동3가 69
스타벅스 을지로국제빌딩점, 서울 중구 다동 111
카페워너비, 서울 영등포구 양평동4가 22-1
카페 어타, 서울 양천구 신월동 47-4
샐러드하우스, 서울 금천구 가산동 60-5
동네카페, 서울 강동구 상일동 485
글로우, 서울 성동구 성수동2가 277-24
카페AR테리토리, 서울 서초구 우면동 721-1
로코페페 2호점, 서울 서대문구 충정로2가 124
나히차 왕십리점, 서울 성동구 행당동 1-53
와이케이스튜디오 숍앤샵, 서울 금천구 독산동 1156
우니스, 서울 구로구 구로동 651-2
로스트라, 서울 서초구 양재동 13-1
이로랑, 서울 양천구 목동 806-18
에그카페24, 서울 강동구 명일동 243-5
진스카페, 서울 양천구 신정동 202-26
해피커피 문래창작촌점, 서울 영등포구 문래동2가 14-13
매머드익스프레스 장안현대홈타운점, 서울 동대문구 장안동 336
쿠꾸마는커피중, 서울 양천구 목동 736-15
조선스페이스 방화점, 서울 강서구 방화동 829-4
톰바틀, 서울 성북구 상월곡동 69-3
카페베즐리 국민은행여의도전산센터점, 서울 영등포구 여의도동 15-22
파크더블유, 서울 중랑구 망우동 43-8
폴스토리이스케이프, 서울 중구 충무로2가 7-1
성수커피, 서울 송파구 문정동 651
카페아이엠티 시청2청사점, 서울 중구 서소문동 143
프레오커피, 서울 관악구 신림동 498-1
크리스탈 라운지, 서울 강남구 신사동 630-31
크런치샌드위치, 서울 마포구 대흥동 328-17
덤앤더머 홍대점, 서울 마포구 서교동 404-5
카페하센 남산하센호텔점, 서울 중구 예장동 1-43
카페쉼그리고책, 서울 중구 신당동 160-2
에스티이사사, 서울 동작구 사당동 318-8
아미고, 서울 종로구 관철동 19-11
루나제이커피, 서울 영등포구 양평동5가 39
그로니, 서울 마포구 합정동 356-10
브릭독, 서울 동대문구 답십리동 477-10
비어니스트유기농베이커리, 서울 서초구 방배동 900-37
희차, 서울 용산구 한강로3가 40-999
소울, 서울 종로구 창성동 98-20
코지커피앤니팅, 서울 송파구 거여동 178-103
도파민, 서울 마포구 망원동 375-3
블루포트 서울대학교 기숙사점, 서울 관악구 신림동 산 56-1
메가MGC커피 명지대점, 서울 서대문구 남가좌동 388
프로커피, 서울 구로구 구로동 736-103
할리스 서울명지대점, 서울 서대문구 남가좌동 343-4
커피코트 공덕롯데캐슬, 서울 마포구 염리동 108
투썸플레이스 삼호가든사거리점, 서울 서초구 반포동 30-25
스탠다드번, 서울 용산구 한강로3가 100
설빙 서대문연희점, 서울 서대문구 연희동 188-1
매화연, 서울 강남구 대치동 63
프리지어, 서울 마포구 연남동 259-15
M, 서울 성동구 성수동1가 123
더엘씨, 서울 서초구 서초동 1555-16
공차 석촌역점, 서울 송파구 송파동 19-9
미미에토, 서울 서대문구 연희동 81-19
포레스트, 서울 관악구 신림동 산 56-1
베리블리스, 서울 마포구 서교동 335-18
오프스크린, 서울 마포구 신수동 41-7
오니베이크샵, 서울 관악구 봉천동 866-7
째즈스토리, 서울 성북구 성북동 122-7
더리터 고려대점, 서울 성북구 안암동5가 1-2
랩씨카페, 서울 송파구 방이동 67-3
물나무다방, 서울 종로구 계동 133-6
카페깔리아리, 서울 영등포구 영등포동4가 442-1
투썸플레이스 서울대역중앙점, 서울 관악구 봉천동 861-7
메가MGC커피 월곡역점, 서울 성북구 하월곡동 18-14
크리모르, 서울 중랑구 묵동 172-26
제이와인하우스, 서울 강남구 역삼동 728-21
하인나커피, 서울 광진구 군자동 357-8
로코코 무드, 서울 영등포구 신길동 3937-6
다인스카페 연지점, 서울 종로구 연지동 1-1
카페 바인, 서울 강북구 수유동 567-1
카페 마, 서울 서대문구 연희동 433-6
나루터, 서울 송파구 송파동 13-4
버블톡, 서울 관악구 신림동 1640-47
카페베네 한일병원점, 서울 도봉구 쌍문동 388-1
빽다방 강남역지하도점, 서울 강남구 역삼동 858
샛길, 서울 서초구 양재동 284
보라하우스, 서울 성동구 금호동3가 1170-6
카페톤, 서울 마포구 성산동 254-18
더리터 영등포점, 서울 영등포구 영등포동 618-80
모타운 서울, 서울 송파구 송파동 56
우주만화, 서울 광진구 자양동 17-5
하이어그라운드, 서울 금천구 가산동 60-48
조효상점, 서울 서초구 양재동 332-1
사이시간, 서울 동작구 사당동 162-95
커피플란트, 서울 송파구 거여동 37-6
카페오늘은, 서울 강동구 명일동 90
힙카롱, 서울 강남구 삼성동 7-3
컴포즈커피 한남순천향점, 서울 용산구 한남동 636-7
오늘커피, 서울 마포구 성산동 595
메가MGC커피 면목동점, 서울 중랑구 면목동 446-5
와샌, 서울 마포구 공덕동 27-11
달, 서울 종로구 삼청동 63-35
플랫커피, 서울 노원구 공릉동 349-8
엔코바, 서울 금천구 가산동 371-17
시즌커피앤베이크, 서울 영등포구 양평동3가 41-2
에이디저트, 서울 양천구 신정동 329
삼각카페, 서울 용산구 신계동 34-1
핏어팻, 서울 종로구 명륜2가 237
아이코드델리카페, 서울 성북구 하월곡동 88-64
스타벅스 왕십리역9번출구점, 서울 성동구 행당동 267-23
컴포즈커피 금천구청점, 서울 금천구 시흥동 114-5
E-yagi, 서울 노원구 월계동 912-3
딜리셔스, 서울 강북구 미아동 217-104
눅, 서울 마포구 대흥동 327-5
나무아래 이대점, 서울 서대문구 대현동 37-59
착한커피, 서울 강서구 마곡동 757-3
오리지널 피지, 서울 중구 광희동2가 17
스타벅스 공덕오거리점, 서울 마포구 도화동 22
CNN라이브, 서울 서초구 방배동 768-8
커피사피엔스 가산어반워크점, 서울 금천구 가산동 451-1
아띠오레, 서울 성동구 행당동 168-151
스타벅스 샛강역점, 서울 영등포구 여의도동 55-2
빽다방 양원역점, 서울 중랑구 망우동 618-3
아이미즈(주)카페문, 서울 강서구 내발산동 701-4
금성커피 역삼점, 서울 강남구 역삼동 836-1
메가MGC커피 서울역한라비발디점, 서울 중구 만리동2가 288
빈디 NC강서점, 서울 강서구 등촌동 689
카페토브, 서울 마포구 노고산동 31-74
새시로 역촌점, 서울 은평구 역촌동 18-17
리슨투, 서울 성북구 동소문동7가 2-5
커피캔, 서울 강남구 역삼동 792-25
유토피아룸카페, 서울 은평구 갈현동 454-3
100디그리, 서울 마포구 상수동 93-110
몽마르언덕, 서울 종로구 창신동 703
컴포즈커피 역삼테헤란로점, 서울 강남구 역삼동 828-21
인밸류어블, 서울 용산구 청파동1가 89-127
굿푸드앤카페 강남본점, 서울 강남구 대치동 901-52
#무궁화, 서울 종로구 숭인동 1248
스타벅스 을지로한국빌딩점, 서울 중구 을지로2가 198
카페마루, 서울 영등포구 영등포동4가 442
더굿플레이스, 서울 관악구 봉천동 711-22
cafe the 쉼, 서울 마포구 대흥동 488-1
랑쿠(rang coo), 서울 성북구 동소문동4가 197
커피온리 잠실점, 서울 송파구 신천동 8
메가보틀 강서마곡점, 서울 강서구 마곡동 799-6
토마스커피, 서울 마포구 합정동 435-25
에나타 강남1호점, 서울 강남구 역삼동 601-7
슬라임, 서울 마포구 동교동 203-18
픽빈카페, 서울 양천구 신정동 1196-2
엔카운터랩, 서울 서초구 방배동 1015-1
트립티 지사, 서울 마포구 신수동 371-16
탐앤탐스 서울역점, 서울 용산구 동자동 12
트레플유오, 서울 강남구 대치동 935-10
스타벅스 건대스타시티점, 서울 광진구 자양동 227-7
오린지, 서울 송파구 송파동 30-7
한땀, 서울 마포구 동교동 149-13
로네펠트티하우스 광화문점, 서울 종로구 신문로1가 115
Cafe 단비로운, 서울 강동구 둔촌동 457-4
터치카페 해방촌점, 서울 용산구 용산동2가 1-1203
잘루, 서울 서대문구 연희동 128-26
학다방, 서울 종로구 종로5가 43-1
T1카페&아레나, 서울 강남구 논현동 267-22
청계구리, 서울 서초구 원지동 383-1
콜로라도프로젝트, 서울 마포구 대흥동 35-2
루비카페, 서울 서초구 방배동 750-12
카페함크, 서울 구로구 고척동 253-216
부스럭, 서울 송파구 잠실동 40-1
CAFEFEEL, 서울 강남구 역삼동 727-2
카툰플러스 잠실점, 서울 송파구 잠실동 191-5
카페희재, 서울 송파구 잠실동 223
이글스, 서울 송파구 가락동 81-6
서초커피109, 서울 서초구 방배동 924-12
빽다방 방이시장점, 서울 송파구 방이동 111
베카사주타로, 서울 용산구 이태원동 552
애몽, 서울 마포구 연남동 566-38
스타벅스 강남R점, 서울 강남구 역삼동 825
이디야커피 용두동사거리점, 서울 동대문구 용두동 119-1
스페어커피, 서울 강남구 논현동 177
스타벅스 관악서울대입구R점, 서울 관악구 봉천동 856-6
벌크커피 가산디지털단지점, 서울 금천구 가산동 517-4
커피샵, 서울 종로구 연지동 184
카페아에 구로점, 서울 금천구 독산동 151-3
커피다동로스터스, 서울 중구 다동 167
커피빈 삼성오크우드점, 서울 강남구 삼성동 159
스타벅스 올림픽훼미리점, 서울 송파구 문정동 150-26
